"","gene","MinExpr","MaxExpr","SD_logRPKM","Mean_logRPKM","Median_logRPKM","Q.25_logRPKM","Q.75_logRPKM","IQR_logRPKM","ShannonIndex","Kurtosis","Skewness","ZeroExpr_proportion","residual.SD_logRPKM","LOESS.fit","TP"
"MAB_0002","MAB_0002",4.54177253032346,9.26245124742095,0.828289976130357,8.00603879151092,8.25596289858516,7.45604083332382,8.63912342568108,1.18308259235726,4.65790903673075,4.42429951406374,-0.969170006418087,0,-0.184691060937836,1.01298103706819,0.873596897736446
"MAB_0003","MAB_0003",6.37366719862971,9.88505847757508,0.801538828713616,8.27219981991459,8.26573235427123,7.67718493813615,8.98846097137498,1.31127603323883,4.65873389539006,2.18729513261962,-0.257908898070592,0,-0.220132717449708,1.02167154616332,0.838155241224574
"MAB_0004","MAB_0004",3.02470240706026,7.44286959358434,0.845568785551843,5.48866371470629,5.56819435467133,4.97009387050716,6.0419165040361,1.07182263352894,4.65115461155416,3.57506610394798,-0.557505980905874,0,-0.185216446896808,1.03078523244865,0.873071511777474
"MAB_0005","MAB_0005",3.42695268261275,7.97760378310419,0.979350104962865,5.4855263138527,5.38639206351467,4.85170538667931,6.04913096139082,1.19742557471151,4.64772833751,2.5902056356123,0.303109528633471,0,-0.0515592054904793,1.03090931045334,1.0067287531838
"MAB_0006","MAB_0006",9.35937279270551,13.9148974704204,1.04778518208683,12.1187613548572,12.4013117600397,11.5718285647985,12.707906815607,1.13607825080857,4.65962515125136,3.40087396301619,-0.88833270073347,0,-0.152786623976776,1.2005718060636,0.905501334697506
"MAB_0007","MAB_0007",5.44207842042085,12.1393457756845,1.30049310758537,8.40538419006076,8.23040546742,7.81963401700818,8.87415554685642,1.05452152984824,4.65166447783952,3.68899493804507,0.410886963883638,0,0.27463203192948,1.0258610756559,1.33291999060376
"MAB_0008","MAB_0008",1.81910650082689,8.35748124370099,1.30531179038225,4.65296133860486,4.63971754836802,3.8336128652842,5.10973471496404,1.27612184967984,4.62442662994424,3.38967233680152,0.448306827493002,0,0.222720614617848,1.0825911757644,1.28100857329213
"MAB_0009","MAB_0009",5.22740308610739,9.92955139290203,0.895495564161007,7.45376980742759,7.52367557599539,6.90315611113446,7.88255696828919,0.979400857154723,4.6562151460447,3.60343649842823,-0.0422543571808295,0,-0.107521936734977,1.00301750089598,0.950766021939305
"MAB_0010c","MAB_0010c",6.497474688402,10.4497547870131,0.922303296934077,8.32362282295195,8.24689360244593,7.60833282216094,9.03072416743665,1.4223913452757,4.65740842057368,2.20804437025385,0.341976316414796,0,-0.101030463254205,1.02333376018828,0.957257495420078
"MAB_0011c","MAB_0011c",3.96648550909472,8.73005022415775,0.80653625480453,6.25172303951835,6.13946125618098,5.75910785031671,6.81000848148046,1.05090063116375,4.65517684024639,3.78393320567735,0.192224026112345,0,-0.201755912027426,1.00829216683196,0.856532046646857
